product_image,product_name,product_price,product_discount
//images.samsung.com/is/image/samsung/p6pim/in/sm-a528bzkgins/gallery/in-galaxy-a52s-5g-a528-sm-a528bzkgins-496779527?$684_547_PNG$,Galaxy A52s 5G (8GB RAM),₹ 374,9% Off
//images.samsung.com/is/image/samsung/p6pim/in/sm-a032fzbdins/gallery/in-galaxy-a03core-a032f-sm-a032fzbdins-530523886?$2052_1641_PNG$,Galaxy A03 Core (2GB RAM),₹ 79,24% Off
//images.samsung.com/is/image/samsung/p6pim/in/sm-a225fzkrins/gallery/in-galaxy-a22-a225-sm-a225fzkrins-464319646?$684_547_PNG$,Galaxy A22 (6GB RAM),₹ 184,10% Off
//images.samsung.com/is/image/samsung/p6pim/in/sm-a127fzkgins/gallery/in-galaxy-a12-a127-sm-a127fzkgins-530406339?$2052_1641_PNG$,"Galaxy A12 (4GB RAM, Exynos850 Processor)","
                      ₹ 12999
                ",19% Off
//images.samsung.com/is/image/samsung/p6pim/in/sm-a037fzbdins/gallery/in-galaxy-a03s-a037-sm-a037fzbdins-490358590?$684_547_PNG$,Galaxy A03s (3GB RAM),₹ 109,8% Off
//images.samsung.com/is/image/samsung/p6pim/in/sm-a226bzajins/gallery/in-galaxy-a-sm-a226bzajins-sm-a---bzahins-477356482?$720_576_PNG$,Galaxy A22 5G (8GB RAM),₹ 219,6% Off
//stg-images.samsung.com/is/image/samsung/p6pim/in/sm-a525fzkhins/gallery/in-galaxy-a52-a525-377958-sm-a525fzkhins-409773833?$PD_GALLERY_L_JPG$,Galaxy A52 (8GB RAM),₹ 289,17% Off
//images.samsung.com/is/image/samsung/p6pim/in/sm-a037fzkgins/gallery/in-galaxy-a03s-a037-401442-sm-a037fzkgins-490358748?$2052_1641_PNG$,Galaxy A03s (4GB RAM),₹ 119,8% Off
//images.samsung.com/is/image/samsung/p6pim/in/sm-a127fzkjins/gallery/in-galaxy-a12-a127-400926-sm-a127fzkjins-483302658?$720_576_PNG$,"Galaxy A12 (6GB RAM, Exynos850 Processor)","
                      ₹ 15499
                ",17% off
//images.samsung.com/is/image/samsung/p6pim/in/sm-a528bzkdins/gallery/in-galaxy-a52s-5g-a528-402506-sm-a528bzkdins-496849348?$2052_1641_PNG$,Galaxy A52s 5G (6GB RAM),₹ 359,13% off
//images.samsung.com/is/image/samsung/p6pim/in/sm-x200nzaainu/gallery/in-galaxy-a8-sm-x200-sm-x200nzaainu-530635474?$684_547_PNG$,Galaxy Tab A8 (Wi-Fi),₹ 179,24% off
//images.samsung.com/is/image/samsung/p6pim/in/sm-t500nzsginu/gallery/in-galaxy-tab-a7-wifi-t500n-353604-sm-t500nzsginu-429596807?$2052_1641_PNG$,Galaxy Tab A7 (Wi-Fi) (4/64 GB),₹ 164,14% off
//images.samsung.com/is/image/samsung/p6pim/in/sm-t735nzsainu/gallery/in-galaxy-tab-s7-fe-t735-sm-t735nzsainu-458153887?$PD_GALLERY_L_JPG$,Galaxy Tab S7 FE (LTE),₹ 449,10% off
//images.samsung.com/is/image/samsung/in-galaxy-tab-a7-wifi-t500n-sm-t500nzapinu-frontportraitgray-311867275?$2052_1641_PNG$,Galaxy Tab A7 (Wi-Fi),₹ 154,17% OFF
//images.samsung.com/is/image/samsung/in-galaxy-tab-s6-lite-p610-sm-p610nziainu-frontpink-236966957?$2052_1641_PNG$,Galaxy Tab S6 Lite (Wi-Fi),₹ 279,14% off
//images.samsung.com/is/image/samsung/p6pim/in/sm-x205nzaainu/gallery/in-galaxy-a8-sm-x205-sm-x205nzaainu-530636023?$684_547_PNG$,Galaxy Tab A8 (LTE),₹ 219,35% off
//images.samsung.com/is/image/samsung/p6pim/in/sm-t225nzaains/gallery/in-galaxy-a7-lite-t225-sm-t225nzaains-457220206?$2052_1641_PNG$,Galaxy Tab A7 Lite (LTE),₹ 149,20% off
